Symbol;Issuer Fullname;ISIN;BBTicker
NFGAB;Nordic Flanges Group AB;SE0023641311;
NIO;Nordic Iron Ore AB;SE0011528017;
LEVEL;Nordic LEVEL Group AB;SE0012313302;
NPAPER;Nordic Paper Holding AB;SE0014808838;
NORB B;Nordisk Bergteknik AB;SE0015812128;
NOTEK;Norditek Group AB;SE0016843486;
SAVE;Nordnet AB;SE0015192067;
NBZ;Northbaze Group AB;SE0003204908;
CAPS;Northern CapSek Ventures AB;SE0024989750;
CAPS PREF;Northern CapSek Ventures AB;SE0024989768;
NG;Northgold AB;SE0017131071;
NORVA;Norva24 Group AB;SE0017084759;
NOSIUM B;NOSIUM AB;SE0023112065;
NOTE;NOTE AB;SE0001161654;NOTE SS
NTEK B;NOVOTEK AB;SE0000567752;NTEKB SS
NOVU;Novus Group International AB;SE0001989260;
NOWO;Nowonomics AB;SE0015660840;
NP3;NP3 Fastigheter AB;SE0006342333;NP3 SS
NP3 PREF;NP3 Fastigheter AB;SE0010820514;NP3PREF SS
NYF;Nyfosa AB;SE0011426428;
OBDU B;Obducat;SE0000514705;
OBDU PREF B;Obducat;SE0009357536;
ODI;ODI Pharma AB;SE0013409760;
ODIN;Odinwell AB;SE0015809967;
OEM B;OEM International AB;SE0017766843;OEMB SS
OGUN B;Ogunsen AB;SE0008406151;
ONCO;Oncopeptides AB;SE0009414576;ONCO SS
ONCOZ;OncoZenge AB;SE0015504097;
ONEF;Oneflow AB;SE0017564461;
OBAB;Online Brands Nordic AB;SE0017133838;OBAB SS
OPTER;Opter AB;SE0016829501;
OPTI;OptiCept Technologies AB;SE0005881786;OPTI SS
ORX;Orexo AB;SE0000736415;ORX SS
ORGC;OrganoClick AB;SE0006510335;
ORRON;Orrön Energy AB;SE0000825820;
ORTI A;Ortivus AB;SE0000188930;ORTIA SS
ORTI B;Ortivus AB;SE0000123085;ORTIB SS
OSSD;OssDsign AB;SE0012570448;
OURLIV;OurLiving AB;SE0009606593;
OVZON;Ovzon AB;SE0010948711;
OXE;OXE Marine AB;SE0009888613;
PNDX B;Pandox AB;SE0007100359;PNDXB SS
PDX;Paradox Interactive AB (publ);SE0008294953;
PAX;Paxman AB;SE0009806284;
PEAB B;Peab AB;SE0000106205;PEABB SS
PMED*;PEPTONIC medical AB;SE0005962206;
PEXA B;PExA AB;SE0007412374;
PHAL*;PharmaLundensis AB;SE0003359710;
PHI;Phase Holographic Imaging PHI AB;SE0005504636;
PCAT;Photocat A/S;DK0060668796;
PTRK;Physitrack PLC;GB00BK80TJ35;
PIERCE;Pierce Group AB;SE0015658364;
PILA;PILA PHARMA AB;SE0015988274;
PION B;PION Group AB;SE0000567539;
PLAZ B;Platzer Fastigheter Holding AB;SE0004977692;PLAZB SS
PLEJD;Plejd AB;SE0008014476;
POLAR;PolarCool AB;SE0023467162;
POLYG;Polygiene Group AB;SE0007692157;
PCELL;PowerCell Sweden AB;SE0006425815;
PREBON;Prebona AB;SE0007692884;
PRCO B;Precio Fishbone AB;SE0000141137;PRCOB SS
PREC;Precise Biometrics AB;SE0018013849;PREC SS
PCOM B;Precomp Solutions AB;SE0006091724;PCOMB SS
SNX;Premium Snacks Nordic AB;SE0006260865;
PHOL PREF;Preservia Holding AB (publ);SE0013486099;
PHYR B;Preservia Hyresfastigheter AB;SE0013147113;
PHYR PREF;Preservia Hyresfastigheter AB;SE0009973365;
PRESRV;Preservium Property AB;SE0016829790;
PREV B;Prevas AB;SE0000356008;PREVB SS
PRIC B;Pricer AB;SE0000233934;PRICB SS
PACT;Proact IT Group AB;SE0015961222;PACT SS
PROF B;ProfilGruppen AB;SE0000393860;PROFB SS
PRFO;Profoto Holding AB;SE0015962147;
PENG B*;Projektengagemang Sweden AB;SE0011337666;PENGB SS
PRLD;Prolight Diagnostics AB;SE0003618230;
PRO;Promimic AB;SE0017487242;
PLUN*;ProstaLund AB;SE0023468418;PLUN SS
PROGEN*;Prostatype Genomics AB;SE0023261532;
PROVIT;Provide IT Sweden AB;SE0008321418;
QLINEA;Q-Linea AB;SE0011527845;
QBNK;QBNK Holding AB;SE0007278726;
QBRICK;Qbrick AB;SE0015962105;
QIIWI;Qiiwi Games AB;SE0010245373;
QAIR;QleanAir AB;SE0013382066;
QLIFE*;QLife Holding AB;SE0022574331;
QLIRO;Qliro AB;SE0013719077;
QLOSR B*;Qlosr Group AB;SE0018169195;
QCORE*;Qlucore AB;SE0016829824;
QUIA*;QUIA PHARMA AB;SE0020678159;
RAIL;Railcare Group AB;SE0010441139;RAIL SS
RAKE;Raketech Group Holding plc;MT0001390104;
RPLAN;Ranplan Group AB;SE0011178201;
RATO A;Ratos AB;SE0000191090;RATOA SS
RATO B;Ratos AB;SE0000111940;RATOB SS
RAY B;RaySearch Laboratories AB;SE0000135485;RAYB SS
RAYTL;Raytelligence AB;SE0022088282;
READ;Readly International AB;SE0014855292;
REAL;Real Fastigheter AB;SE0020679025;
REALFI;Realfiction Holding AB;SE0009920994;
RECY B;Recyctec Holding AB;SE0014808978;
GOTL A;Rederiaktiebolaget Gotland;SE0000105371;
GOTL B;Rederiaktiebolaget Gotland;SE0000105397;
REDS;Redsense Medical AB;SE0006965158;
REJL B;Rejlers AB;SE0000123671;REJLB SS
RVN;Renewable Ventures Nordic AB;SE0017768658;
RENT;Rentunder Holding AB;SE0004548451;
RESP;Respiratorius AB;SE0023314315;
RESURS;Resurs Holding AB;SE0007665823;RESURS SS
RIGHTB*;RightBridge Ventures Group AB;SE0019070749;
RO;Rolling Optics Holding AB;SE0010520155;
RROS;Rottneros AB;SE0000112252;RROS SS
RUG;RugVista Group AB;SE0015659834;
RVRC;RVRC Holding AB;SE0015962485;
S2M*;S2Medical AB;SE0011725084;
SAAB B;SAAB AB;SE0021921269;SAABB SS
SAFE;Safe at Sea AB;SE0005308632;
SLG B;Safe Lane Gaming AB;SE0020552297;
SFL;Safello Group AB;SE0015346895;
SFTR;Safeture AB;SE0006117297;
SAGA A;Sagax AB;SE0004635878;SAGAA SS
SAGA B;Sagax AB;SE0005127818;SAGAB SS
SAGA D;Sagax AB;SE0009161052;SAGAD SS
SALT B;SaltX Technology Holding AB;SE0005308541;
SBB B;Samhällsbyggnadsbolaget i Norden AB;SE0009554454;
SBB D;Samhällsbyggnadsbolaget i Norden AB;SE0011844091;
SAMPO SDB;Sampo Oyj;SE0018768707;
SAMT B;Samtrygg Group AB;SE0009267834;
SAND;Sandvik AB;SE0000667891;SAND SS
SANION;Saniona AB;SE0005794617;SANION SS
SARS;SARSYS AB;SE0009320294;
YIELD;SaveLend Group AB;SE0015961024;
SAXG;Saxlund Group AB;SE0023439500;
SBFBO A;SBF Bostad AB (publ);SE0021630084;
SBFBO B;SBF Bostad AB (publ);SE0021630092;
SBOK;ScandBook Holding AB;SE0003175660;SBOK SS
SCST;Scandi Standard AB;SE0005999760;SCST SS
SHOT;Scandic Hotels Group AB;SE0007640156;SHOT SS
SDOS;ScandiDos AB;SE0005768124;SDOS SS
CMOTEC B;Scandinavian ChemoTech AB;SE0009242654;
SES;Scandinavian Enviro Systems AB;SE0005877560;SES SS
HEART;Scandinavian Real Heart AB;SE0023286836;
SCOL*;Scandion Oncology A/S;DK0061031895;
SCIB;Scibase Holding AB;SE0007045414;
SCOUT;Scout Gaming Group AB;SE0010521153;
SDIP B;Sdiptech AB;SE0003756758;
SDIP PREF;Sdiptech AB;SE0006758348;
SEAF;Seafire AB;SE0009779796;
STW;SeaTwirl AB;SE0009242175;
SECI;SECITS Holding AB;SE0009664436;
SECT B;SECTRA AB;SE0022419784;SECTB SS
SECU B;Securitas AB;SE0000163594;SECUB SS
SEDANA;Sedana Medical AB;SE0015988373;
SDET;SensoDetect AB;SE0003037456;
SENZA;SenzaGen AB;SE0010219626;
SEZI;Senzime AB;SE0002478776;SEZI SS
SERT;Serstech AB;SE0005365095;SERT SS
SNM;ShaMaran Petroleum Corp;CA8193201024;SNM SS
SHT B;SHT Smart High-Tech AB;SE0016843809;
SILEON*;Sileon AB;SE0023440748;
SIMRIS B;Simris Group AB;SE0008091664;
SINCH;Sinch AB;SE0016101844;
SINT;SinterCast AB;SE0000950982;SINT SS
SIVE;Sivers Semiconductors AB;SE0003917798;SIVE SS
SCC B;Sjöstrand Coffee Int AB;SE0007897764;
SEB A;Skandinaviska Enskilda Banken AB;SE0000148884;SEBA SS
SEB C;Skandinaviska Enskilda Banken AB;SE0000120784;SEBC SS
SKA B;Skanska AB;SE0000113250;SKAB SS
SKF A;SKF; AB;SE0000108201;SKFA SS
SKF B;SKF; AB;SE0000108227;SKFB SS
SKIS B;SkiStar AB;SE0012141687;SKISB SS
SKOLON;Skolon AB;SE0017615784;
SKMO;Skåne-möllan AB;SE0017885338;SKMO SS
SLEEP;Sleep Cycle AB;SE0015961404;
SLOTT B;Slottsviken Fastighetsaktiebolag;SE0018012411;
SEYE;Smart Eye AB;SE0009268279;
SMOL;Smoltek Nanotech Holding AB;SE0010820381;
SOCIAL;Sociallite US AB;SE0020824373;
SOF B;Softronic AB;SE0000323305;SOFB SS
SFAB;Solid Försäkringsaktiebolag;SE0017082548;
SOLIDX;SolidX AB;SE0016797971;
SOLNA;Solnaberg Property AB (publ);SE0009155211;
SOLT;SolTech Energy Sweden AB;SE0005392537;
SONE;Sonetel AB;SE0009580517;
SOSI;Sotkamo Silver;SE0001057910;
SOUND*;Sound Dimension AB;SE0016589063;
SOZAP;SOZAP AB;SE0015812524;
SPAGO;Spago Nanomedical AB;SE0004899474;
SPEC;SpectraCure AB;SE0007158118;
SPEONE;SpectrumOne AB;SE0006994448;
SPERM;Spermosens AB;SE0015346424;
SPGR;Spotlight Group AB;SE0014704763;
SPRINT;Sprint Bioscience AB;SE0006343745;
SSAB A;SSAB AB;SE0000171100;SSABA SS
SSAB B;SSAB AB;SE0000120669;SSABB SS
STVA B;Star Vault AB;SE0002149369;
STAR A;Starbreeze AB;SE0007158928;STARA SS
STAR B;Starbreeze AB;SE0005992831;STARB SS
STABL;Stayble Therapeutics AB;SE0013513652;
STEF B;Stendörren Fastigheter AB;SE0006543344;STEFB SS
SFAST;Stenhus Fastigheter i Norden AB;SE0014956819;
STIL;Stille AB;SE0000998650;STIL SS
SF;StillFront Group AB;SE0015346135;
STWK;Stockwik Förvaltning AB;SE0012257970;STWK SS
STE A;Stora Enso Oyj;FI0009007603;STEA SS
STE R;Stora Enso Oyj;FI0009007611;STER SS
STOR B;Storskogen Group AB;SE0016797732;
STORY B;Storytel AB;SE0007439443;
STUDBO;Studentbostäder i Norden AB;SE0015657697;
SVIK;Studsvik AB;SE0000653230;SVIK SS
SUS;Surgical Science Sweden AB;SE0014428512;
SUSG;Sustainion Group AB;SE0002067421;
SVED B;Svedbergs Group AB;SE0000407991;SVEDB SS
AERO;Svenska Aerogel Holding AB;SE0023440557;
SCA A;Svenska Cellulosa AB SCA;SE0000171886;SCAA SS
SCA B;Svenska Cellulosa AB SCA;SE0000112724;SCAB SS
SHB A;Svenska Handelsbanken AB;SE0007100599;SHBA SS
SHB B;Svenska Handelsbanken AB;SE0007100607;SHBB SS
SVOL A;Svolder AB;SE0017161441;SVOLA SS
SVOL B;Svolder AB;SE0017161458;SVOLB SS
SWEC A;SWECO AB;SE0014960365;SWECA SS
SWEC B;SWECO AB;SE0014960373;SWECB SS
SWED A;Swedbank AB;SE0000242455;SWEDA SS
BUY;Sweden BuyersClub AB;SE0015660287;
SECARE;Swedencare AB (publ);SE0015988167;
SLP B;Swedish Logistic Property AB;SE0017565476;
SOBI;Swedish Orphan Biovitrum AB;SE0000872095;SOBI SS
SYNACT;SynAct Pharma AB;SE0008241491;
SYNC B;Syncro Group AB;SE0023287339;
SYNSAM;Synsam AB;SE0016829709;
SYNT;SyntheticMR AB;SE0015987946;
SYSR;Systemair AB;SE0016609499;SYSR SS
SODER;Söder Sportfiske AB;SE0016276539;
TAGM B;TagMaster AB;SE0015950399;TAGMB SS
TALK;TalkPool AG;CH0322161768;
TCC A;TCECUR Sweden AB;SE0014965604;
TEL2 A;Tele2 AB;SE0005190220;TEL2A SS
TEL2 B;Tele2 AB;SE0005190238;TEL2B SS
TELIA;Telia Company AB;SE0000667925;TELIA SS
TELLUS;Tellusgruppen AB;SE0015504519;
TSEC;Tempest Security AB;SE0010469221;
TEQ;Teqnion AB;SE0012308088;
TERRNT B;Terranet AB;SE0009806045;
TESSIN;Tessin Nordic Holding AB;SE0009522451;
TFBANK;TF Bank AB;SE0007331608;TFBANK SS
TH1NG;TH1NG AB;SE0016074124;
THULE;Thule Group AB;SE0006422390;THULE SS
THUNDR;Thunderful Group AB;SE0015195888;
TIETOS;TietoEVRY Oyj;FI0009000277;TIETOS SS
TPGR;Time People Group;SE0010442962;
TITA B;Titania Holding AB;SE0017132129;
TOBII;Tobii AB;SE0002591420;TOBII SS
TOL*;Toleranzia AB;SE0007438577;
TOPR;TopRight Nordic AB;SE0010297507;
TOUCH;Touchtech AB;SE0010414482;
TOURN;Tourn International AB;SE0005568482;
TRAC B;Traction; AB;SE0000391716;TRACB SS
TRAD;TradeDoubler AB;SE0001552357;TRAD SS
TRAIN B;Train Alliance AB;SE0020540144;
TRML;Trainimal AB (publ);SE0011528082;
TRNSF;Transfer Group AB;SE0011870757;
TRAN A;Transferator AB;SE0017911233;
TRAN B;Transferator AB;SE0017911241;
TIRO;Transiro Holding AB;SE0009242027;
TRANS;Transtema Group AB;SE0006758587;
8TRA;TRATON SE;DE000TRAT0N7;
TREL B;Trelleborg AB;SE0000114837;TRELB SS
TRIBO B;Tribox Group AB;SE0010600429;
TRIONA;Triona AB;SE0001321761;
TROAX;Troax Group AB;SE0012729366;TROAX SS
TRUE B;Truecaller AB;SE0016787071;TRUEB SS
TURA;Tura Group AB;SE0017083355;
UMIDA B;Umida Group AB;SE0009190788;
UNIBAP;Unibap Space Solutions AB;SE0009606809;
UTG;Unlimited Travel Group AB;SE0001834821;UTG SS
UPSALE;Upsales Technology AB;SE0011985514;
USWE;USWE Sports AB;SE0015949771;
VBG B;VBG GROUP AB;SE0000115107;VBGB SS
VEFAB;VEF AB;SE0016128151;
VERT B;Vertiseit AB;SE0012481133;
VESTUM;Vestum AB;SE0017134125;
VPAB B;Veteranpoolen AB;SE0010663161;
VPLAY A;Viaplay Group AB;SE0012324226;
VPLAY B;Viaplay Group AB;SE0012116390;
VSD B;Vibrosense Dynamics AB;SE0006852125;
VICO;Vicore Pharma Holding AB;SE0007577895;
VSSAB B;Viking Supply Ships AB;SE0010820613;VSSABB SS
VIMAB*;Vimab Group AB;SE0007439633;
VIMIAN;Vimian Group AB;SE0015961982;
VIT B;Vitec Software Group AB;SE0007871363;VITB SS
VITR;Vitrolife AB;SE0011205202;VITR SS
VIVA;Viva Wine Group AB;SE0017084361;
VIVE;Vivesto AB;SE0000722365;
VNV;VNV Global AB;SE0014428835;
VO2;VO2 Cap Holding AB;SE0016802797;
VOLO;Volati AB;SE0009143662;VOLO SS
VOLO PREF;Volati AB;SE0009143670;VOLOPREF SS
VOLCAR B;Volvo Car AB;SE0021628898;
VOLV A;Volvo; AB;SE0000115420;VOLVA SS
VOLV B;Volvo; AB;SE0000115446;VOLVB SS
VULTS;Vultus AB;SE0017616006;
VH;Västra Hamnen Corporate Finance AB;SE0017767031;
W5;W5 Solutions AB;SE0016786040;
WALL B;Wallenstam AB;SE0017780133;WALLB SS
WAYS;Waystream Group AB;SE0007577077;
WPAY;Westpay AB;SE0002169292;
WIHL;Wihlborgs Fastigheter AB;SE0018012635;WIHL SS
WISE;Wise Group AB;SE0007277876;WISE SS
WTG;Wonderful Times Group AB;SE0006028577;
WYLD*;Wyld Networks AB;SE0015812516;
WBGR B;Wästbygg Gruppen AB;SE0014453874;
XANO B;XANO Industri AB;SE0018014151;XANOB SS
XBRANE;Xbrane Biopharma AB;SE0007789409;
XINT;Xintela AB;SE0007756903;
XMR*;XMReality AB;SE0009664188;
XPC;XP Chemistries AB;SE0016787279;
XSPRAY;XSpray Pharma AB;SE0009973563;
XVIVO;Xvivo Perfusion AB;SE0004840718;XVIVO SS
ZAPLOX;Zaplox AB;SE0020354389;
ZENZIP B;Zenergy AB;SE0023313069;
ZENI;Zenicor Medical Systems AB;SE0006343984;
ZZ B;Zinzino AB;SE0002480442;ZZB SS
ZOOM;Zoomability Int AB;SE0012740074;
ORES;Öresund; Investment AB;SE0008321608;ORES SS
