release_date,company_name,title,full_text,category,title_clean,full_text_clean
2025-06-16,Alfa Laval,Welcome as a subscriber,"[*] 
Welcome as subscriber at Alfa Laval

From now on, you will receive information from Alfa Laval to this e-mail address.


Alfa Laval is active in the areas of Energy, Marine, and Food & Water, offering its expertise, products, and service to a wide range of industries in some 100 countries. The company is committed to optimizing processes, creating responsible growth, and driving progress – always going the extra mile to support customers in achieving their business goals and sustainability targets. Alfa Laval’s innovative technologies are dedicated to purifying, refining, and reusing materials, promoting more responsible use of natural resources. They contribute to improved energy efficiency and heat recovery, better water treatment, and reduced emissions. Thereby, Alfa Laval is not only accelerating success for its customers, but also for people and the planet. Making the world better, every day. It’s all about Advancing better™. Alfa Laval has 17,500 employees. Annual sales in 2019 were SEK 46.5 billion (approx. EUR 4.4 billion). The company is listed on Nasdaq OMX. 


To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

Cancel subscription

",unknown,Welcome as a subscriber,"[*] Welcome as subscriber at Alfa Laval From now on, you will receive information from Alfa Laval to this e-mail address. Alfa Laval is active in the areas of Energy, Marine, and Food & Water, offering its expertise, products, and service to a wide range of industries in some 100 countries. The company is committed to optimizing processes, creating responsible growth, and driving progress – always going the extra mile to support customers in achieving their business goals and sustainability targets. Alfa Laval’s innovative technologies are dedicated to purifying, refining, and reusing materials, promoting more responsible use of natural resources. They contribute to improved energy efficiency and heat recovery, better water treatment, and reduced emissions. Thereby, Alfa Laval is not only accelerating success for its customers, but also for people and the planet. Making the world better, every day. It’s all about Advancing better™. Alfa Laval has 17,500 employees. Annual sales in 2019 were SEK 46.5 billion (approx. EUR 4.4 billion). The company is listed on Nasdaq OMX. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser) Cancel subscription"
2025-06-16,AFRY,Welcome as a subscriber,"[*] 
Welcome as subscriber at AFRY AB

From now on, you will receive information from AFRY AB to this e-mail address.





To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

Cancel subscription

",unknown,Welcome as a subscriber,"[*] Welcome as subscriber at AFRY AB From now on, you will receive information from AFRY AB to this e-mail address. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser) Cancel subscription"
2025-06-16,ALK,Stock Quote Notification for ALK,"Company:
 ALK
Ticker:
 ALKB
Exchange:
 NASDAQ
Last Trade:
 183.00
Change:
 -2.5
% Change:
 -1.35%
Volume:
 140,550
Day's High:
 186.80
Day's Low:
 181.20
Previous Close:
 185.50
You are subscribed to ALK Investor Relations' email alerts.
To unsubscribe from all alerts, please 
click here
.
ALK
Bøge Allé 6-8  DK-2970, Hørsholm,  , Denmark
Service provided by Notified

",unknown,Stock Quote Notification for ALK,"Company: ALK Ticker: ALKB Exchange: NASDAQ Last Trade: 183.00 Change: -2.5 % Change: -1.35% Volume: 140,550 Day's High: 186.80 Day's Low: 181.20 Previous Close: 185.50 You are subscribed to ALK Investor Relations' email alerts. To unsubscribe from all alerts, please click here . ALK Bøge Allé 6-8 DK-2970, Hørsholm, , Denmark Service provided by Notified"
2025-06-17,Ritzau,Ambu A/S: Activate your release subscription,"





Activate your release subscription
























Activate your release subscription












 





















                      Click the link below to begin activation of your subscription 
or
 to cancel the subscription request to publisher Ambu A/S.
                    










https://via.ritzau.dk/activate-subscription?email=rs.newsfeed.123%40gmail.com&activationKey=be54714a-6d82-4f17-9a4b-41606ce021f6&language=en&publisherId=13561943











                      This service is provided by Via Ritzau.
                      When you accept to be registrered as subscriber and by that receive pressreleases via Ritzau you also accept that we share stastistics about what pressreleases you have opened with those of Ritzaus existing customers that have sent pressreleases to you: 
https://ritzau.com/cookie-privatlivspolitik/
.
                    






















​





",unknown,Ambu A/S: Activate your release subscription,Activate your release subscription Activate your release subscription Click the link below to begin activation of your subscription or to cancel the subscription request to publisher Ambu A/S. This service is provided by Via Ritzau. When you accept to be registrered as subscriber and by that receive pressreleases via Ritzau you also accept that we share stastistics about what pressreleases you have opened with those of Ritzaus existing customers that have sent pressreleases to you: . ​
2025-06-17,Arion Bank,Arion Bank: Verify your subscription,"Hi,,

You have requested to subscribe to releases from Arion Bank via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below.

This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at support@modularfinance.com

Best regards,
MFN - https://mfn.se/all/a/arion-bank

Copyright © 2025 Modular Finance AB

To complete the subscription please click Verify https://hub.mfn.se/verify/56b2159c-ebd1-41f2-820e-ffebd4697204?hub.mode=subscribe&redirect=true&lang=en

To manage subscriptions https://mfn.se/manage-subscription?token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJodWIubWZuLnNlIiwic3ViIjoiNTZiMjE1OWMtZWJkMS00MWYyLTgyMGUtZmZlYmQ0Njk3MjA0IiwiaWF0IjoxNzUwMTM5ODQ5LCJqdGkiOiJycy5uZXdzZmVlZC4xMjNAZ21haWwuY29tIn0.nHajqApvx8KwXAJfSdHgRy597Nall5RNb8avSmnX4F2tL1hJaSEAT2roHpLz8s0H6e_YPGm3IxFed_jqGD-M0Q&lang=en",unknown,Arion Bank: Verify your subscription,"Hi,, You have requested to subscribe to releases from Arion Bank via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below. This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at Best regards, MFN - Copyright © 2025 Modular Finance AB To complete the subscription please click Verify To manage subscriptions"
2025-06-17,Asker Healthcare Group AB,Confirm your subscription,"[*] 
Thank you for subscribing to Asker Healthcare Group AB services!



To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link:

		
Confirm email address




",unknown,Confirm your subscription,"[*] Thank you for subscribing to Asker Healthcare Group AB services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link: Confirm email address"
2025-06-17,Asker Healthcare Group AB,Welcome,"[*] 
Welcome as subscriber at Asker Healthcare Group AB

From now on, you will receive information from Asker Healthcare Group AB to this e-mail address.





To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

Cancel subscription

",unknown,Welcome,"[*] Welcome as subscriber at Asker Healthcare Group AB From now on, you will receive information from Asker Healthcare Group AB to this e-mail address. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser) Cancel subscription"
2025-06-17,Asmodee Group AB,Asmodee Group AB: Verify your subscription,"Hi,,

You have requested to subscribe to releases from Asmodee Group AB via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below.

This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at support@modularfinance.com

Best regards,
MFN - https://mfn.se/all/a/asmodee

Copyright © 2025 Modular Finance AB

To complete the subscription please click Verify https://hub.mfn.se/verify/7dd3f846-88f0-41d9-ab54-523e819c8f4f?hub.mode=subscribe&redirect=true&lang=en

To manage subscriptions https://mfn.se/manage-subscription?token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJodWIubWZuLnNlIiwic3ViIjoiN2RkM2Y4NDYtODhmMC00MWQ5LWFiNTQtNTIzZTgxOWM4ZjRmIiwiaWF0IjoxNzUwMTQwMDQzLCJqdGkiOiJycy5uZXdzZmVlZC4xMjNAZ21haWwuY29tIn0.Rwci9PNNug3K2a5wJjrHrUDzBJ9NEFEqd5ypbMOhI9lO82318bjmZVfI0w2h1uFRmkFGaysG1HaLw99vYeUdfQ&lang=en",unknown,Asmodee Group AB: Verify your subscription,"Hi,, You have requested to subscribe to releases from Asmodee Group AB via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below. This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at Best regards, MFN - Copyright © 2025 Modular Finance AB To complete the subscription please click Verify To manage subscriptions"
2025-06-17,ASSA ABLOY,Welcome,"
Welcome as subscriber at ASSA ABLOY

From now on, you will receive information from ASSA ABLOY to this e-mail address. 

To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

https://publish.ne.cision.com/Subscriber/Index/897B86C657872184408E4E6A701B6D7B
",unknown,Welcome,"Welcome as subscriber at ASSA ABLOY From now on, you will receive information from ASSA ABLOY to this e-mail address. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)"
2025-06-17,Alleima,Confirm your subscription,"[*] 
Thank you for subscribing to Alleima services!



To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link:

		
Confirm email address




",unknown,Confirm your subscription,"[*] Thank you for subscribing to Alleima services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link: Confirm email address"
2025-06-17,Alleima,Welcome as subscriber,"[*] 
Welcome as subscriber at Alleima

From now on, you will receive information from Alleima to this e-mail address.





To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

Cancel subscription

",unknown,Welcome as subscriber,"[*] Welcome as subscriber at Alleima From now on, you will receive information from Alleima to this e-mail address. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser) Cancel subscription"
2025-06-17,Atlas Copco,Confirm your subscription,"[*] 
Thank you for subscribing to Atlas Copco´s services!



To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link:

		
Confirm email address




",unknown,Confirm your subscription,"[*] Thank you for subscribing to Atlas Copco´s services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link: Confirm email address"
2025-06-17,Atlas Copco,Welcome as subscriber,"[*] 
Welcome as subscriber at Atlas Copco

From now on, you will receive information from Atlas Copco to this e-mail address.





To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

Cancel subscription

",unknown,Welcome as subscriber,"[*] Welcome as subscriber at Atlas Copco From now on, you will receive information from Atlas Copco to this e-mail address. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser) Cancel subscription"
