cluster,cid,category_name,press_release_id,release_date,company_name,title,snippet,_silhouette,cat_sim,cat_margin,decision
0,equity_actions_non_buyback,Equity actions (non-buyback),198d013a53797b37,2025-08-22,Arvo Sijoitusosuuskunta,Arvo Sijoitusosuuskunnan puolivuosikatsaus 1.1.-30.6.2025 (tilintarkastamaton),Arvo Sijoitusosuuskunnan puolivuosikatsaus 1.1.-30.6.2025 (tilintarkastamaton) Julkaistu: 2025-08-22 06:40:00 CEST Arvo Sijoitusosuuskunta - Puolivuosikatsaus Arvo Sijoitusosuuskunnan puolivuosikatsaus 1.1.-30.6.2025 (tilintarkastamaton) Pohjanmaan Arvo Sijoitusosuuskunta | Yhtiötiedote | 22.08.2025 klo 07:40:00 EEST Tämä tiedote on tiivistelmä Arvo Sijoitusosuuskunnan puolivuosikatsauksesta 1.1.-30.6.2025. Puolivuosikatsaus kokonaisuudessaan on tämän yhtiötiedotteen liitteenä pdf-tiedostona ja saatavilla Arvon kotisivuilla osoitteessa Yhteenveto tammi-kesäkuu 2025 Suluissa esitetyt luvut viit,0.1804,0.7936,0.0089,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198c5f4c3d250600,2025-08-20,Investors House Oyj,INVESTORS HOUSE H1 2025 - vahva tulos ja jako kolmeen,"INVESTORS HOUSE H1 2025 - vahva tulos ja jako kolmeen Julkaistu: 2025-08-20 07:30:00 CEST Investors House Oyj - Puolivuosikatsaus INVESTORS HOUSE H1 2025 - vahva tulos ja jako kolmeen Investors House Oyj Puolivuosikatsaus 20.8. klo 8.30 INVESTORS HOUSE H1 2025 – vahva tulos ja jako kolmeen YHTEENVETO Q2 2025 (VERTAILUKAUSI Q2 2024) Toisen kvartaalin tulos oli 3,5 M€ (5,8 M€) mikä on historian toiseksi paras poikkeuksellisen hyvän vuoden 2024 jälkeen. Katsauskaudella myytiin 2/3 omistusosuus Apitare Oy:stä. Vuona 2021 tehty alkuperäinen ja vuonna 2024 tehty lisäinvestointi Apitareen osoittautui",0.1652,0.7930,0.0035,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198c74c2b8dfe234,2025-08-20,Nokian Tyres plc,Nokian Renkaat: Arvopaperimarkkinalain 9 luvun 10 §:n mukainen ilmoitus omistusosuuden muutoksista,"Nokian Renkaat: Arvopaperimarkkinalain 9 luvun 10 §:n mukainen ilmoitus omistusosuuden muutoksista Julkaistu: 2025-08-20 13:45:00 CEST Nokian Tyres plc - Suurimmat osakkeenomistajat - tiedote Nokian Renkaat: Arvopaperimarkkinalain 9 luvun 10 §:n mukainen ilmoitus omistusosuuden muutoksista Nokian Renkaat Oyj Pörssitiedote 20.8.2025 klo 14.45 Nokian Renkaat on vastaanottanut 19.8.2025 Arvopaperimarkkinalain 9. luvun 5. pykälän mukaisen ilmoituksen Société Générale SA:lta (SG SA), jonka mukaisesti Société Générale SA:n omistus rahoitusvälineiden kautta sekä yhteenlaskettu omistusosuus Nokian Ren",0.2129,0.8069,0.0115,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198c1c586ab098b2,2025-08-19,Ecoup Oyj,EcoUp Oyj Puolivuosikatsaus 1.1.-30.6.2025,"EcoUp Oyj Puolivuosikatsaus 1.1.-30.6.2025 Julkaistu: 2025-08-19 12:00:00 CEST Ecoup Oyj - Puolivuosikatsaus EcoUp Oyj Puolivuosikatsaus 1.1.-30.6.2025 EcoUp Oyj | Yhtiötiedote | 19.08.2025 klo 13:00:00 EEST Tämä tiedote on tiivistelmä EcoUp Oyj:n puolivuosikatsauksesta (tilintarkastamaton) tammi-kesäkuu 2025. Puolivuosikatsaus on kokonaisuudessaan tämän yhtiötiedotteen liitteenä ja saatavilla yhtiön verkkosivuilla osoitteessa sijoittajat.ecoup.fi. EcoUp Oyj Puolivuosikatsaus 1.1.–30.6.2025: Tuloksellisesti heikko alkuvuosi Suluissa esitetyt luvut viittaavat vuoden 2024 vastaavaan ajankohtaan,",0.1414,0.7800,0.0008,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198d0bd1c1f69f82,2025-08-22,Nokian Tyres plc,Nokian Renkaat: Arvopaperimarkkinalain 9 luvun 10 §:n mukainen ilmoitus omistusosuuden muutoksista,"Nokian Renkaat: Arvopaperimarkkinalain 9 luvun 10 §:n mukainen ilmoitus omistusosuuden muutoksista Julkaistu: 2025-08-22 09:45:00 CEST Nokian Tyres plc - Suurimmat osakkeenomistajat - tiedote Nokian Renkaat: Arvopaperimarkkinalain 9 luvun 10 §:n mukainen ilmoitus omistusosuuden muutoksista Nokian Renkaat Oyj Pörssitiedote 22.8.2025 klo 10.45 Nokian Renkaat on vastaanottanut 21.8.2025 Arvopaperimarkkinalain 9. luvun 5. pykälän mukaisen ilmoituksen Société Générale SA:lta (SG SA), jonka mukaisesti Société Générale SA:n omistus rahoitusvälineiden kautta sekä yhteenlaskettu omistusosuus Nokian Ren",0.2095,0.8041,0.0105,needs_review_margin
0,earnings_report,Earnings report,197e37949e02dab4,2025-07-07,Elisa Oyj,Elisa: puolivuosikatsauksen julkistaminen 15.7.2025,"[*] Elisa: puolivuosikatsauksen julkistaminen 15.7.2025 ELISA OYJ SIJOITTAJAUUTINEN 7.7.2025 KLO 9.00 Elisa julkistaa puolivuosikatsauksensa tammi–kesäkuulta tiistaina 15.7.2025 noin klo 8.30. Englanninkielinen analyytikoille ja sijoittajille tarkoitettu tilaisuus ja konferenssipuhelu järjestetään samana päivänä klo 12.00. Linkki suoraan audiocast-lähetykseen: Konferenssipuhelussa Elisan johdolle voi esittää kysymyksiä puhelimitse. Jos haluat esittää kysymyksiä, rekisteröidy puhelinkonferenssiin tästä linkistä: Rekisteröitymisen jälkeen saat puhelinnumerot ja konferenssitunnuksen sekä henkilök",0.0088,0.7570,0.0012,needs_review_margin
0,share_buyback,Share buyback,198bbfa71bfeb90f,2025-08-18,Tokmanni Group Oyj,Tokmanni Group Oyj aloittaa omien osakkeiden takaisinosto-ohjelman,"Tokmanni Group Oyj aloittaa omien osakkeiden takaisinosto-ohjelman Julkaistu: 2025-08-18 09:00:00 CEST Tokmanni Group Oyj - Muut pörssin sääntöjen nojalla julkistettavat tiedot Tokmanni Group Oyj aloittaa omien osakkeiden takaisinosto-ohjelman Tokmanni Group Oyj Pörssitiedote 18.8.2025 klo 10.00 Tokmanni Group Oyj:n hallitus on päättänyt aloittaa yhtiön omien osakkeiden hankinnan (""takaisinosto-ohjelma"") 7.5.2025 pidetyn varsinaisen yhtiökokouksen antaman valtuutuksen perusteella. Omia osakkeita hankitaan enintään 375 000 kappaletta, mikä vastaa noin 0,6 % yhtiön kokonaisosakemäärästä, joka on",0.0095,0.7770,0.0083,needs_review_margin
0,earnings_report,Earnings report,198cc7c911cd61f5,2025-08-21,Raisio,Raision tulosjulkistukset ja yhtiökokous vuonna 2026,"Raision tulosjulkistukset ja yhtiökokous vuonna 2026 Julkaistu: 2025-08-21 13:56:10 CEST Raisio - Tulosjulkistamisajankohdat Raision tulosjulkistukset ja yhtiökokous vuonna 2026 Raisio Oyj, pörssitiedote, 21.8.2025 Raisio Oyj julkistaa vuoden 2025 tilinpäätöstiedotteen keskiviikkona 11.2.2026 noin klo 8.30 Suomen aikaa. Vuoden 2025 tilinpäätös, toimintakertomus sekä yritysvastuutiedot, selvitys hallinto- ja ohjausjärjestelmästä ja palkitsemisraportti julkistetaan viikolla 13/2026. Raisio julkistaa vuonna 2026 seuraavat taloudelliset raportit: Osavuosikatsaus tammi-maaliskuulta tiistaina 12.5.2",0.0158,0.7857,0.0160,needs_review_margin
0,guidance_outlook,Guidance / Outlook,198bb8cc5746e4f1,2025-08-18,Pihlajalinna Oyj,Pihlajalinna Oyj:n tulosjulkistukset ja varsinainen yhtiökokous vuonna 2026,Pihlajalinna Oyj:n tulosjulkistukset ja varsinainen yhtiökokous vuonna 2026 Julkaistu: 2025-08-18 07:00:00 CEST Pihlajalinna Oyj - Tulosjulkistamisajankohdat Pihlajalinna Oyj:n tulosjulkistukset ja varsinainen yhtiökokous vuonna 2026 Pihlajalinna Oyj Pörssitiedote 18.8.2025 klo 8.00 Pihlajalinna Oyj:n tulosjulkistukset ja varsinainen yhtiökokous vuonna 2026 Pihlajalinna Oyj:n taloudellisten tiedotteiden julkaisuaikataulu vuonna 2026 on seuraava: Tilinpäätöstiedote 2025: 12.2.2026 Vuosiraportti 2025: viimeistään viikolla 11 Osavuosikatsaus tammikuu–maaliskuu 2026: 28.4.2026 Puolivuosikatsaus ta,0.0253,0.7603,0.0032,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198bbc3ee1800052,2025-08-18,Nokian Panimo Oyj,Kutsu Nokian Panimo Oyj:n vuoden 2025 tammi-kesäkuun puolivuosikatsauksen julkistukseen,Kutsu Nokian Panimo Oyj:n vuoden 2025 tammi-kesäkuun puolivuosikatsauksen julkistukseen Julkaistu: 2025-08-18 08:00:00 CEST Nokian Panimo Oyj - Sijoittajauutiset Kutsu Nokian Panimo Oyj:n vuoden 2025 tammi-kesäkuun puolivuosikatsauksen julkistukseen Nokian Panimo Oyj LEHDISTÖTIEDOTE 18.8.2025 klo 09.00 Kutsu Nokian Panimo Oyj:n vuoden 2025 tammi-kesäkuun puolivuosikatsauksen julkistukseen Nokian Panimo Oyj järjestää mediatilaisuuden vuoden 2025 tammi-kesäkuun puolivuosikatsauksen julkistuksen yhteydessä torstaina 21.8.2025 kello 13.00. Puolivuosikatsaus esitellään audio-webcastina. Puolivuosik,0.0255,0.7662,0.0031,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198c120cff599632,2025-08-19,Tokmanni Group Oyj,Tokmanni Group Oyj: Johtohenkilöiden liiketoimet - Ulla Serlenius,Tokmanni Group Oyj: Johtohenkilöiden liiketoimet - Ulla Serlenius Julkaistu: 2025-08-19 09:00:00 CEST Tokmanni Group Oyj - Johtohenkilöiden liiketoimet Tokmanni Group Oyj: Johtohenkilöiden liiketoimet - Ulla Serlenius Tokmanni Group Oyj Johtohenkilöiden liiketoimet 19.8.2025 klo 10.00 Ilmoitusvelvollinen Nimi: Ulla Serlenius Asema: Hallituksen jäsen/varajäsen Liikkeeseenlaskija: Tokmanni Group Oyj LEI: 743700VMG6KWF0FW1560 Ilmoituksen luonne: ENSIMMÄINEN ILMOITUS Viitenumero: 119426/5/4 Liiketoimen päivämäärä: 2025-08-18 Kauppapaikka: NASDAQ HELSINKI LTD (XHEL) Instrumenttityyppi: OSAKE ISIN: ,0.0309,0.7668,0.0084,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198e1d9ebbaeceef,2025-08-25,Kojamo Oyj,Kojamo Oyj: Omien osakkeiden hankinta 25.8.2025,"Kojamo Oyj: Omien osakkeiden hankinta 25.8.2025 Julkaistu: 2025-08-25 17:30:00 CEST Kojamo Oyj - Muutokset omien osakkeiden omistuksessa Kojamo Oyj: Omien osakkeiden hankinta 25.8.2025 Kojamo Oyj, Pörssitiedote, 25.8.2025 klo 18.30 Kojamo Oyj: Omien osakkeiden hankinta 25.8.2025 Helsingin Pörssi Päivämäärä 25.8.2025 Pörssikauppa Osto Osakelaji KOJAMO Osakemäärä 40 000 osaketta Keskihinta/ osake 10,6639 EUR Kokonaishinta 426 556,00 EUR Yhtiön hallussa olevat omat osakkeet 25.8.2025 tehtyjen kauppojen jälkeen: 110 000 kpl. Omia osakkeita hankitaan markkinoiden väärinkäyttöasetuksen (EU) N:o 596/",0.0357,0.7657,0.0007,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198e70050b3054cb,2025-08-26,Kojamo Oyj,Kojamo Oyj: Omien osakkeiden hankinta 26.8.2025,"Kojamo Oyj: Omien osakkeiden hankinta 26.8.2025 Julkaistu: 2025-08-26 17:30:00 CEST Kojamo Oyj - Muutokset omien osakkeiden omistuksessa Kojamo Oyj: Omien osakkeiden hankinta 26.8.2025 Kojamo Oyj, Pörssitiedote, 26.8.2025 klo 18.30 Kojamo Oyj: Omien osakkeiden hankinta 26.8.2025 Helsingin Pörssi Päivämäärä 26.8.2025 Pörssikauppa Osto Osakelaji KOJAMO Osakemäärä 60 000 osaketta Keskihinta/ osake 10,7358 EUR Kokonaishinta 644 148,00 EUR Yhtiön hallussa olevat omat osakkeet 26.8.2025 tehtyjen kauppojen jälkeen: 170 000 kpl. Omia osakkeita hankitaan markkinoiden väärinkäyttöasetuksen (EU) N:o 596/",0.0364,0.7650,0.0006,needs_review_margin
0,legal_regulatory_compliance,Legal / Regulatory / Compliance,198bbdeeb3b6ccb0,2025-08-18,Detection Technology Oyj,Detection Technology käynnistää muutosneuvottelut kannattavuuden ja kilpailukyvyn parantamiseksi,Detection Technology käynnistää muutosneuvottelut kannattavuuden ja kilpailukyvyn parantamiseksi Julkaistu: 2025-08-18 08:30:00 CEST Detection Technology Oyj - Sijoittajauutiset Detection Technology käynnistää muutosneuvottelut kannattavuuden ja kilpailukyvyn parantamiseksi Detection Technology Oyj lehdistötiedote 18.8.2025 klo 9.30 Detection Technology Oyj kertoi puolivuosikatsauksessaan ryhtyneensä säästötoimenpiteisiin kannattavuutensa ja kilpailukykynsä parantamiseksi. Osana näitä toimenpiteitä yhtiö aloittaa yhteistoimintalain mukaiset muutosneuvottelut Suomessa. Muutosneuvottelujen piiri,0.0367,0.7688,0.0070,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198d266d53c7bfe7,2025-08-22,Kojamo Oyj,Kojamo Oyj: Omien osakkeiden hankinta 22.8.2025,"Kojamo Oyj: Omien osakkeiden hankinta 22.8.2025 Julkaistu: 2025-08-22 17:30:00 CEST Kojamo Oyj - Muutokset omien osakkeiden omistuksessa Kojamo Oyj: Omien osakkeiden hankinta 22.8.2025 Kojamo Oyj, Pörssitiedote, 22.8.2025 klo 18.30 Kojamo Oyj: Omien osakkeiden hankinta 22.8.2025 Helsingin Pörssi Päivämäärä 22.8.2025 Pörssikauppa Osto Osakelaji KOJAMO Osakemäärä 70 000 osaketta Keskihinta/ osake 10,5336 EUR Kokonaishinta 737 352,00 EUR Yhtiön hallussa olevat omat osakkeet 22.8.2025 tehtyjen kauppojen jälkeen: 70 000 kpl. Omia osakkeita hankitaan markkinoiden väärinkäyttöasetuksen (EU) N:o 596/2",0.0371,0.7645,0.0018,needs_review_margin
0,earnings_report,Earnings report,198ac3526a32b544,2025-08-15,Kesla Oyj,"Kesla Oyj: Pitkään jatkunut toimintaympäristön epävarmuus heijastui toimintaan, Kesla Oyj:n liikevaihto laski","Kesla Oyj: Pitkään jatkunut toimintaympäristön epävarmuus heijastui toimintaan, Kesla Oyj:n liikevaihto laski Julkaistu: 2025-08-15 07:30:00 CEST Kesla Oyj - Puolivuosikatsaus Kesla Oyj: Pitkään jatkunut toimintaympäristön epävarmuus heijastui toimintaan, Kesla Oyj:n liikevaihto laski Kesla Oyj: Puolivuosikatsaus 1.1. -30.6.2025 15.8.2025 kello 8:30 Kesla Oyj: Pitkään jatkunut toimintaympäristön epävarmuus heijastui toimintaan, Kesla Oyj:n liikevaihto laski Katsauksen raportointikaudet ovat 1.4.–30.6.2025 (vertailu kausi 1.4.–30.6.2024) ja 1.1.–30.6.2025 (1.1.-30.6.2024). Ellei toisin mainita,",0.0375,0.7890,0.0025,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198ec269a32961b0,2025-08-27,Kojamo Oyj,Kojamo Oyj: Omien osakkeiden hankinta 27.8.2025,"Kojamo Oyj: Omien osakkeiden hankinta 27.8.2025 Julkaistu: 2025-08-27 17:30:00 CEST Kojamo Oyj - Muutokset omien osakkeiden omistuksessa Kojamo Oyj: Omien osakkeiden hankinta 27.8.2025 Kojamo Oyj, Pörssitiedote, 27.8.2025 klo 18.30 Kojamo Oyj: Omien osakkeiden hankinta 27.8.2025 Helsingin Pörssi Päivämäärä 27.8.2025 Pörssikauppa Osto Osakelaji KOJAMO Osakemäärä 60 000 osaketta Keskihinta/ osake 10,8386 EUR Kokonaishinta 650 316,00 EUR Yhtiön hallussa olevat omat osakkeet 27.8.2025 tehtyjen kauppojen jälkeen: 230 000 kpl. Omia osakkeita hankitaan markkinoiden väärinkäyttöasetuksen (EU) N:o 596/",0.0384,0.7644,0.0005,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198eb062bd40b555,2025-08-27,Bioretec Oy,Sisäpiiritieto: Bioretec nimittää Sarah van Hellenberg Hubar-Fisherin toimitusjohtajaksi,Sisäpiiritieto: Bioretec nimittää Sarah van Hellenberg Hubar-Fisherin toimitusjohtajaksi Julkaistu: 2025-08-27 12:15:00 CEST Bioretec Oy - Sisäpiiritieto Sisäpiiritieto: Bioretec nimittää Sarah van Hellenberg Hubar-Fisherin toimitusjohtajaksi Bioretec Oy Sisäpiiritieto 27 elokuuta 2025 kello 13.15 EEST Biohajoavien ortopedisten implanttien edelläkävijä Bioretec Oy on tänään nimittänyt Sarah van Hellenberg Hubar-Fisherin toimitusjohtajakseen. Hän aloittaa tehtävässä välittömästi. Van Hellenberg Hubar-Fisher on toiminut Bioretecin väliaikaisena toimitusjohtajana toukokuusta 2025 lähtien ja halli,0.0393,0.7833,0.0081,needs_review_margin
